City,Country,Continent,Summer (Olympiad),Winter,Year,Opening Ceremony,Closing Ceremony
Albertville,France,Europe,-,XVI,1992,8-Feb,23-Feb
Amsterdam,Netherlands,Europe,IX,-,,17-May,12-Aug
Antwerpen,Belgium,Europe,VII,-,1920,20-Apr,12-Sep
Athens,Greece,Europe,XXVIII,-,2004,13-Aug,29-Aug
Athina,Greece,Europe,I,-,1896,6-Apr,15-Apr
Atlanta,United States,North America,XXVI,-,1996,19-Jul,4-Aug
Barcelona,Spain,Europe,XXV,-,,25-Jul,9-Aug
Beijing,China,Asia,XXIX,-,2008,8-Aug,24-Aug
Beijing,China,Asia,-,XXIV,2022,4-Feb,20-Feb
Berlin,Germany,Europe,VI,-,1916,Cancelled due to World War I,
Berlin,Germany,Europe,XI,-,,1-Aug,16-Aug
Calgary,Canada,North America,-,XV,1988,13-Feb,28-Feb
Chamonix,France,Europe,-,I,1924,25-Jan,4-Feb
Cortina d'Ampezzo,Italy,Europe,-,V,1944,Cancelled due to World War II,
Cortina d'Ampezzo,Italy,Europe,-,VII,1956,26-Jan,5-Feb
Garmisch-Partenkirchen,Germany,Europe,-,IV,1936,6-Feb,16-Feb
Grenoble,France,Europe,-,X,1968,6-Feb,18-Feb
Helsinki,Finland,Europe,XV,-,,19-Jul,3-Aug
Innsbruck,Austria,Europe,-,IX,1964,29-Jan,9-Feb
Innsbruck,Austria,Europe,-,XII,1976,4-Feb,15-Feb
Lake Placid,United States,North America,-,III,1932,4-Feb,15-Feb
Lake Placid,United States,North America,-,XIII,1980,12-Feb,24-Feb
Lillehammer,Norway,Europe,-,XVII,1994,12-Feb,27-Feb
London,United Kingdom,Europe,IV,-,1908,27-Apr,31-Oct
London,United Kingdom,Europe,XIII,-,,Cancelled due to World War II,
London,United Kingdom,Europe,XIV,-,,29-Jul,14-Aug
London,United Kingdom,Europe,XXX,-,2012,27-Jul,12-Aug
Los Angeles,United States,North America,X,-,,30-Jul,14-Aug
Los Angeles,United States,North America,XXIII,-,,28-Jul,12-Aug
Los Angeles,United States,North America,XXXIV,-,2028,21-Jul,6-Aug
Melbourne,Australia,Oceania,,,,22-Nov,8-Dec
Stockholm,Sweden,Europe,XVI,,,10-Jun, June 17
Mexico City,Mexico,North America,XIX,-,,12-Oct,27-Oct
Montreal,Canada,North America,XXI,-,,17-Jul,1-Aug
Moskva,Russia,Europe,XXII,-,,19-Jul,3-Aug
Munich,Germany,Europe,XX,-,,26-Aug,11-Sep
Nagano,Japan,Asia,-,XVIII,1998,7-Feb,22-Feb
Oslo,Norway,Europe,-,VI,1952,14-Feb,25-Feb
Paris,France,Europe,II,-,1900,14-May,28-Oct
Paris,France,Europe,VIII,-,,4-May,27-Jul
Paris,France,Europe,XXXIII,-,2024,2-Aug,18-Aug
Pyeongchang,South Korea,Asia,-,XXIII,2018,9-Feb,25-Feb
Rio de Janeiro,Brazil,South America,XXXI,-,2016,5-Aug,21-Aug
Roma,Italy,Europe,XVII,-,,25-Aug,11-Sep
Salt Lake City,United States,North America,-,XIX,2002,8-Feb,24-Feb
Sapporo,Japan,Asia,-,XI,1972,3-Feb,13-Feb
Sarajevo,Yugoslavia,Europe,-,XIV,1984,7-Feb,19-Feb
Seoul,South Korea,Asia,XXIV,-,,17-Sep,2-Oct
Sochi,Russia,Europe,-,XXII,2014,7-Feb,23-Feb
Squaw Valley,United States,North America,-,VIII,1960,18-Feb,28-Feb
St. Louis,United States,North America,III,-,1904,1-Jul,23-Nov
Sankt Moritz,Switzerland,Europe,-,II,1928,11-Feb,19-Feb
St. Moritz,Switzerland,Europe,-,V,1948,30-Jan,8-Feb
Stockholm,Sweden,Europe,V,-,1912,5-May,22-Jul
Sydney,Australia,Oceania,XXVII,-,2000,15-Sep,1-Oct
TBD,TBD,,-,XXV,2026,(TBD),
TBD,TBD,,-,XXVI,2030,(TBD),
Tokyo,Japan,Asia,XVIII,-,,10-Oct,24-Oct
Tokyo,Japan,Asia,XXXII,-,2020,24-Jul,9-Aug
Torino,Italy,Europe,-,XX,2006,10-Feb,26-Feb
Vancouver,Canada,North America,-,XXI,2010,12-Feb,28-Feb
